"","ANGER","ANXIETY","BAD","BITTER","BLACK","BLUE","BRIGHT","BROWN","COOKED","DARK","DESIRE","ENVY","FEAR","FRESH","GLOOMY","GOOD","GREEN","GRIEF","HAPPY","HATE","HOPE","JOY","LIGHT","LIKE","LOVE","MERRY","ORANGE","PITY","PROUD","PURPLE","RAW","RED","REGRET","RIPE","ROTTEN","SAD","SALT","SALTY","SHAME","SOUR","SPICY","SURPRISED","SWEET","TASTE","UNRIPE","WANT","WHITE","WORRY","YELLOW","GREY","TASTY"
"ANGER",1,0.733584738243124,0.660159716060337,0.599600709849157,0.242242907801418,0.167173252279635,0.151020408163266,0.05188884064264,0.117753623188406,0.354166666666667,0.542336083369518,0.723404255319149,0.84375,0.0718537414965988,0.659651360544218,0.263297872340426,0.0418882978723404,0.73469387755102,0.561224489795918,0.938775510204082,0.395833333333333,0.510421189752497,0.113520408163266,0.295918367346939,0.573382544507165,0.385416666666667,0.0104166666666667,0.649447278911565,0.510204081632653,0.0622874149659866,0.343247937472862,0.364524533217542,0.778812056737589,0.133715986394558,0.358156028368794,0.772746598639456,0.115718627876683,0.278061224489796,0.700892857142857,0.285714285714286,0.185586734693877,0.504464285714285,0.176943117672601,0.177811550151976,0.179818594104309,0.265079365079365,0.0510204081632653,0.772746598639456,0.0425724637681159,0.0944148936170213,0.114415979157621
"ANXIETY",0.733584738243124,1,0.619047619047619,0.484693877551021,0.104646113764655,0.23639455782313,0.125,0.0421099290780142,0.0718537414965988,0.448979591836735,0.479591836734694,0.744897959183673,0.882312925170068,0.157403386886669,0.670280612244898,0.329931972789115,0,0.862810283687943,0.393617021276595,0.677160225792445,0.489795918367347,0.469387755102041,0.123511904761905,0.332609639600521,0.380952380952381,0.342379504993487,0,0.681898846495119,0.401998299319728,0.0421189752496743,0.217261904761905,0.113520408163266,0.783163265306122,0.177811550151976,0.356057316543639,0.760095527572731,0.0720663265306122,0.192743764172335,0.824404761904762,0.230134607034303,0.231826241134752,0.62133984028394,0.144557823129252,0.126329787234043,0.185799319727891,0.505540780141844,0.0310374149659864,0.908163265306122,0.0826955782312926,0.18627876682588,0.175170068027211
"BAD",0.660159716060337,0.619047619047619,1,0.536777210884354,0.183446712018141,0.115873015873016,0.126551418439717,0.145028224055579,0.197785497177594,0.476486246672582,0.219496309161962,0.469387755102041,0.556547619047619,0.285714285714286,0.669642857142857,0.677160225792445,0.0204081632653061,0.72172619047619,0.467120181405896,0.666521927920104,0.285714285714286,0.41765543426673,0.144982993197279,0.377551020408163,0.277848639455782,0.348562152133581,0.0410289115646258,0.552083333333333,0.390860692102928,0.0208333333333333,0.357142857142857,0.112244897959184,0.589317375886525,0.302865827181937,0.755102040816326,0.771168041684759,0.144132653061224,0.237457482993197,0.698611111111111,0.538033395176252,0.219496309161962,0.318877551020408,0.19991134751773,0.257865646258504,0.53126356925749,0.244897959183673,0.0306122448979592,0.598935226264419,0.0319148936170213,0.0822704081632655,0.326530612244898
"BITTER",0.599600709849157,0.484693877551021,0.536777210884354,1,0.183673469387755,0.163265306122449,0.190328305235137,0.145833333333334,0.499348675640469,0.309098639455783,0.237882653061224,0.583333333333333,0.371598639455783,0.411989795918367,0.453443877551021,0.206207482993197,0.105978260869565,0.510204081632653,0.231382978723404,0.607780612244898,0.23114463176575,0.210771276595745,0.113732993197279,0.176943117672601,0.177811550151976,0.316267730496454,0.178793256433008,0.391581632653061,0.285714285714286,0.0408163265306123,0.602777777777778,0.106884057971015,0.526147959183674,0.489795918367347,0.660076530612245,0.536139455782313,0.576955782312925,0.779059449866903,0.458966565349544,0.948979591836735,0.659651360544218,0.181159420289855,0.672872340425532,0.704081632653061,0.673469387755102,0.189318280503691,0.154974489795918,0.418811002661934,0.113307823129252,0.153061224489796,0.587372448979592
"BLACK",0.242242907801418,0.104646113764655,0.183446712018141,0.183673469387755,1,0.915762049500652,0.404906643508468,0.916630481980027,0.199866903283052,0.803996598639456,0.0514455782312924,0.139002267573696,0.192216421452302,0.102040816326531,0.448762483716891,0.102465986394558,0.787755102040816,0.23703231292517,0.114850195397308,0.197916666666667,0.0924744897959185,0.0306122448979592,0.479166666666667,0.0510204081632653,0.10603371783496,0.0523513753327417,0.73881893182805,0.124185844550586,0.103316326530612,0.85054347826087,0.165391156462585,0.799423758865248,0.135692574902301,0.123724489795918,0.364090316977855,0.219496309161962,0.129166666666666,0.136126791141989,0.115913120567376,0.156534954407295,0.148181011535049,0.0410289115646258,0.113732993197279,0.106699201419698,0.247448979591837,0.0310374149659864,0.853514739229025,0.178679982631351,0.721301020408163,0.864307425097699,0.0625271385149804
"BLUE",0.167173252279635,0.23639455782313,0.115873015873016,0.163265306122449,0.915762049500652,1,0.422831632653061,0.845238095238095,0.0720663265306122,0.561441597915762,0.103343465045593,0.176074685193226,0.155187074829932,0.134824142422927,0.597151360544218,0.0616587060356059,0.917701863354037,0.260312635692575,0.250887311446317,0.150092506938021,0.13265306122449,0.156969170646982,0.416666666666667,0.123724489795918,0.105496453900709,0.134141156462585,0.804634353741496,0.207989578810247,0.156388642413487,0.823491098567086,0.096527777777778,0.904438405797102,0.19092970521542,0.0933248299319726,0.126108156028369,0.422619047619048,0.136746453900709,0.116780045351474,0.158858998144712,0.102040816326531,0.0926870748299322,0.0842198581560284,0.113520408163266,0.0622874149659866,0.168882978723404,0.104211897524968,0.765306122448979,0.226615646258504,0.812852800694746,0.802083333333333,0.0648526077097506
"BRIGHT",0.151020408163266,0.125,0.126551418439717,0.190328305235137,0.404906643508468,0.422831632653061,1,0.423256802721089,0.185260770975057,0.68589174800355,0.358251996450754,0.123511904761905,0.191659272404614,0.561224489795919,0.479591836734694,0.422193877551021,0.483377659574468,0.133928571428572,0.742984693877551,0.113732993197279,0.581632653061225,0.618506493506493,0.88558402084238,0.348526077097505,0.418367346938776,0.747116237799468,0.449630916196265,0.114850195397308,0.464285714285715,0.389529724933452,0.10899814471243,0.434693877551021,0.073581560283688,0.360544217687074,0.125488493269649,0.163265306122449,0.153061224489796,0.136126791141989,0.125776397515528,0.192028985507247,0.216836734693877,0.412202380952381,0.390860692102928,0.168589174800355,0.185586734693877,0.214058956916099,0.717542336083369,0.183673469387755,0.65625,0.432823129251701,0.267431972789116
"BROWN",0.05188884064264,0.0421099290780142,0.145028224055579,0.145833333333334,0.916630481980027,0.845238095238095,0.423256802721089,1,0.458730158730159,0.631427304964539,0.0206207482993198,0.0208333333333333,0.0727312201476335,0.152083333333334,0.15391156462585,0.0631648936170213,0.812418584455058,0.0520833333333333,0.0308248299319729,0.0208423795049935,0.0520833333333333,0.0527572731220148,0.426617455492835,0.0102040816326531,0.0102040816326531,0.09375,0.885149804602692,0.104646113764655,0.0518707482993198,0.809671694764862,0.224184782608696,0.826530612244898,0.115284411636995,0.427083333333333,0.323273990447243,0.0816326530612245,0.185374149659864,0.185374149659864,0.113732993197279,0.173469387755102,0.296598639455782,0.0204081632653061,0.229166666666667,0.11875,0.349914965986394,0.0208333333333333,0.755989352262644,0.0520833333333333,0.814625850340136,0.826530612244898,0.0972222222222222
"COOKED",0.117753623188406,0.0718537414965988,0.197785497177594,0.499348675640469,0.199866903283052,0.0720663265306122,0.185260770975057,0.458730158730159,1,0.229266174554928,0.133928571428572,0.065217391304348,0.0838037342596611,0.779033687943262,0.0714285714285716,0.36495874945723,0.301110083256244,0.114850195397308,0.0940078158923142,0.0629613547546679,0.113520408163266,0.126441881100266,0.293877551020408,0.145028224055579,0.154336734693877,0.113732993197279,0.371386054421769,0.0510204081632653,0.164965986394558,0.187147199305254,0.817460317460317,0.255102040816326,0.102465986394558,0.712765957446808,0.635416666666667,0.0612244897959183,0.707772470690403,0.720629047178538,0.0734250221827862,0.558784383318545,0.749112688553683,0.188829787234043,0.625271385149805,0.795918367346939,0.642857142857142,0.13265306122449,0.188015631784628,0.0928996598639457,0.175807823129252,0.146941489361702,0.768617021276596
"DARK",0.354166666666667,0.448979591836735,0.476486246672582,0.309098639455783,0.803996598639456,0.561441597915762,0.68589174800355,0.631427304964539,0.229266174554928,1,0.270950933564916,0.292227529309597,0.608843537414966,0.171428571428571,0.758651286601597,0.12672045562411,0.381859410430839,0.448328267477204,0.148936170212766,0.447619047619048,0.26530612244898,0.14751552795031,0.820652173913043,0.165391156462585,0.158385093167702,0.138297872340426,0.365986394557824,0.38623534520191,0.0729166666666667,0.478506296135475,0.267800453514739,0.442546583850932,0.290924880590534,0.168589174800355,0.478940512375163,0.474277210884354,0.128798185941044,0.163265306122449,0.360969387755102,0.275510204081633,0.237670068027211,0.0931393834129398,0.180725623582767,0.0833695180199739,0.322448979591837,0.0510204081632653,0.614583333333333,0.275510204081633,0.340348639455783,0.612164662349676,0.102040816326531
