"","row","col","edge","index","group","group_label","valence","arousal","type"
"50","ANGER","ANXIETY",0.733584738243124,1,"emotion","Emotion",0.981566820276498,0.731308411214953,"within"
"99","ANGER","ENVY",0.723404255319149,1,"emotion","Emotion",0.915514592933948,0.630841121495327,"within"
"100","ANXIETY","ENVY",0.744897959183673,1,"emotion","Emotion",0.897081413210445,0.899532710280374,"within"
"148","ANGER","FEAR (FRIGHT)",0.84375,1,"emotion","Emotion",0.93394777265745,0.950934579439252,"within"
"149","ANXIETY","FEAR (FRIGHT)",0.882312925170068,1,"emotion","Emotion",0.915514592933948,0.682242990654206,"within"
"150","ENVY","FEAR (FRIGHT)",0.646113764654798,1,"emotion","Emotion",0.981566820276498,0.581775700934579,"within"
"197","ANGER","GLOOMY",0.659651360544218,1,"emotion","Emotion",0.900153609831029,0.39018691588785,"within"
"198","ANXIETY","GLOOMY",0.670280612244898,1,"emotion","Emotion",0.881720430107527,0.658878504672897,"within"
"199","ENVY","GLOOMY",0.528172138420586,1,"emotion","Emotion",0.984639016897081,0.759345794392523,"within"
"200","FEAR (FRIGHT)","GLOOMY",0.752551020408163,1,"emotion","Emotion",0.966205837173579,0.341121495327103,"within"
"246","ANGER","GRIEF",0.73469387755102,1,"emotion","Emotion",0.973886328725038,0.771028037383178,"within"
"247","ANXIETY","GRIEF",0.862810283687943,1,"emotion","Emotion",0.992319508448541,0.960280373831776,"within"
"248","ENVY","GRIEF",0.724489795918367,1,"emotion","Emotion",0.889400921658986,0.859813084112149,"within"
"249","FEAR (FRIGHT)","GRIEF",0.780937907077725,1,"emotion","Emotion",0.907834101382488,0.72196261682243,"within"
"250","GLOOMY","GRIEF",0.706035605731655,1,"emotion","Emotion",0.874039938556068,0.619158878504673,"within"
"295","ANGER","HAPPY",0.561224489795918,1,"emotion","Emotion",0.0829493087557603,0.97196261682243,"within"
"296","ANXIETY","HAPPY",0.393617021276595,1,"emotion","Emotion",0.064516129032258,0.703271028037383,"within"
"297","ENVY","HAPPY",0.426183239253148,1,"emotion","Emotion",0.167434715821812,0.602803738317757,"within"
"298","FEAR (FRIGHT)","HAPPY",0.443027210884354,1,"emotion","Emotion",0.14900153609831,0.978971962616822,"within"
"299","GLOOMY","HAPPY",0.474489795918367,1,"emotion","Emotion",0.182795698924731,0.36214953271028,"within"
"300","GRIEF","HAPPY",0.447916666666667,1,"emotion","Emotion",0.0568356374807988,0.742990654205608,"within"
"344","ANGER","HATE",0.938775510204082,1,"emotion","Emotion",0.91705069124424,0.922897196261682,"within"
"345","ANXIETY","HATE",0.677160225792445,1,"emotion","Emotion",0.935483870967742,0.654205607476636,"within"
"346","ENVY","HATE",0.720663265306122,1,"emotion","Emotion",0.832565284178187,0.553738317757009,"within"
"347","FEAR (FRIGHT)","HATE",0.825255102040817,1,"emotion","Emotion",0.85099846390169,0.97196261682243,"within"
"348","GLOOMY","HATE",0.53656462585034,1,"emotion","Emotion",0.817204301075269,0.313084112149533,"within"
"349","GRIEF","HATE",0.66921768707483,1,"emotion","Emotion",0.943164362519201,0.69392523364486,"within"
"350","HAPPY","HATE",0.464285714285715,1,"emotion","Emotion",0,0.950934579439252,"within"
"393","ANGER","HOPE",0.395833333333333,1,"emotion","Emotion",0.235023041474654,0.850467289719626,"within"
"394","ANXIETY","HOPE",0.489795918367347,1,"emotion","Emotion",0.216589861751152,0.880841121495327,"within"
"395","ENVY","HOPE",0.503174603174603,1,"emotion","Emotion",0.319508448540707,0.780373831775701,"within"
"396","FEAR (FRIGHT)","HOPE",0.515518707482993,1,"emotion","Emotion",0.301075268817204,0.801401869158879,"within"
