"","ANGER","ANXIETY","BAD","BITTER","BLACK","BLUE","BRIGHT","BROWN","COOKED","DARK","DESIRE","ENVY","FEAR","FRESH","GLOOMY","GOOD","GREEN","GRIEF","HAPPY","HATE","HOPE","JOY","LIGHT","LIKE","LOVE","MERRY","ORANGE","PITY","PROUD","PURPLE","RAW","RED","REGRET","RIPE","ROTTEN","SAD","SALT","SALTY","SHAME","SOUR","SPICY","SURPRISED","SWEET","TASTE","UNRIPE","WANT","WHITE","WORRY","YELLOW","GREY","TASTY"
"ANGER",1,0.630434782608696,0.565217391304348,0.58695652173913,0.25531914893617,0.191489361702128,0.2,0.0425531914893617,0.152173913043478,0.3125,0.574468085106383,0.723404255319149,0.854166666666667,0.0416666666666666,0.645833333333333,0.25,0.0212765957446809,0.73469387755102,0.571428571428571,0.959183673469388,0.479166666666667,0.51063829787234,0.102040816326531,0.285714285714286,0.595744680851064,0.395833333333333,0.0208333333333334,0.653061224489796,0.489795918367347,0.0204081632653061,0.319148936170213,0.361702127659574,0.765957446808511,0.163265306122449,0.382978723404255,0.729166666666667,0.170212765957447,0.25,0.6875,0.346938775510204,0.1875,0.4375,0.170212765957447,0.212765957446808,0.155555555555556,0.244444444444444,0.0612244897959183,0.729166666666667,0.0434782608695652,0.125,0.106382978723404
"ANXIETY",0.630434782608696,1,0.666666666666667,0.5,0.127659574468085,0.166666666666667,0.0833333333333334,0.0425531914893617,0.0416666666666666,0.448979591836735,0.469387755102041,0.755102040816326,0.866666666666667,0.212765957446808,0.653061224489796,0.333333333333333,0,0.829787234042553,0.425531914893617,0.680851063829787,0.448979591836735,0.469387755102041,0.142857142857143,0.297872340425532,0.333333333333333,0.276595744680851,0,0.608695652173913,0.395833333333333,0.0638297872340425,0.291666666666667,0.125,0.75,0.212765957446808,0.446808510638298,0.74468085106383,0.0625,0.222222222222222,0.791666666666667,0.276595744680851,0.25531914893617,0.630434782608696,0.166666666666667,0.127659574468085,0.208333333333333,0.479166666666667,0.0416666666666666,0.877551020408163,0.104166666666667,0.127659574468085,0.183673469387755
"BAD",0.565217391304348,0.666666666666667,1,0.604166666666667,0.244444444444444,0.0888888888888889,0.148936170212766,0.106382978723404,0.191489361702128,0.565217391304348,0.25531914893617,0.387755102040816,0.541666666666667,0.306122448979592,0.625,0.680851063829787,0,0.714285714285714,0.444444444444444,0.659574468085106,0.285714285714286,0.488372093023256,0.208333333333333,0.346938775510204,0.229166666666667,0.431818181818182,0.0208333333333334,0.5625,0.434782608695652,0.0416666666666666,0.387755102040816,0.0816326530612245,0.574468085106383,0.340425531914894,0.755102040816326,0.787234042553192,0.125,0.270833333333333,0.688888888888889,0.545454545454545,0.25531914893617,0.25,0.191489361702128,0.270833333333333,0.531914893617021,0.285714285714286,0.0408163265306123,0.565217391304348,0.0638297872340425,0.0625,0.36734693877551
"BITTER",0.58695652173913,0.5,0.604166666666667,1,0.183673469387755,0.163265306122449,0.217391304347826,0.104166666666667,0.468085106382979,0.291666666666667,0.163265306122449,0.583333333333333,0.416666666666667,0.375,0.4375,0.208333333333333,0.0869565217391305,0.530612244897959,0.212765957446808,0.5625,0.217391304347826,0.234042553191489,0.145833333333333,0.170212765957447,0.212765957446808,0.361702127659574,0.173913043478261,0.375,0.26530612244898,0.0408163265306123,0.622222222222222,0.130434782608696,0.5625,0.489795918367347,0.63265306122449,0.541666666666667,0.541666666666667,0.782608695652174,0.48936170212766,0.918367346938776,0.645833333333333,0.195652173913043,0.595744680851064,0.693877551020408,0.693877551020408,0.276595744680851,0.1875,0.347826086956522,0.104166666666667,0.183673469387755,0.5625
"BLACK",0.25531914893617,0.127659574468085,0.244444444444444,0.183673469387755,1,0.872340425531915,0.340425531914894,0.914893617021277,0.195652173913043,0.791666666666667,0.0416666666666666,0.155555555555556,0.13953488372093,0.0612244897959183,0.48936170212766,0.163265306122449,0.8,0.229166666666667,0.127659574468085,0.145833333333333,0.0625,0.0408163265306123,0.479166666666667,0.0408163265306123,0.130434782608696,0.0434782608695652,0.702127659574468,0.0851063829787234,0.125,0.826086956521739,0.208333333333333,0.74468085106383,0.148936170212766,0.125,0.340425531914894,0.25531914893617,0.133333333333333,0.170212765957447,0.127659574468085,0.170212765957447,0.173913043478261,0.0208333333333334,0.145833333333333,0.152173913043478,0.25,0.0416666666666666,0.911111111111111,0.25531914893617,0.6875,0.851063829787234,0.0638297872340425
"BLUE",0.191489361702128,0.166666666666667,0.0888888888888889,0.163265306122449,0.872340425531915,1,0.4375,0.833333333333333,0.0816326530612245,0.51063829787234,0.0638297872340425,0.127659574468085,0.208333333333333,0.106382978723404,0.520833333333333,0.0212765957446809,0.978260869565217,0.25531914893617,0.195652173913043,0.108695652173913,0.0816326530612245,0.191489361702128,0.4375,0.125,0.127659574468085,0.145833333333333,0.854166666666667,0.191489361702128,0.108695652173913,0.851063829787234,0.0888888888888889,0.91304347826087,0.177777777777778,0.145833333333333,0.106382978723404,0.416666666666667,0.127659574468085,0.111111111111111,0.113636363636364,0.122448979591837,0.0833333333333334,0.0851063829787234,0.125,0.104166666666667,0.212765957446808,0.106382978723404,0.775510204081633,0.208333333333333,0.829787234042553,0.770833333333333,0.0888888888888889
"BRIGHT",0.2,0.0833333333333334,0.148936170212766,0.217391304347826,0.340425531914894,0.4375,1,0.479166666666667,0.288888888888889,0.739130434782609,0.369565217391304,0.104166666666667,0.260869565217391,0.489795918367347,0.448979591836735,0.375,0.404255319148936,0.125,0.8125,0.145833333333333,0.63265306122449,0.522727272727273,0.893617021276596,0.288888888888889,0.408163265306122,0.739130434782609,0.36734693877551,0.127659574468085,0.5,0.391304347826087,0.136363636363636,0.4,0.0638297872340425,0.333333333333333,0.148936170212766,0.142857142857143,0.0816326530612245,0.170212765957447,0.108695652173913,0.217391304347826,0.25,0.395833333333333,0.434782608695652,0.173913043478261,0.1875,0.244444444444444,0.659574468085106,0.204081632653061,0.666666666666667,0.416666666666667,0.208333333333333
"BROWN",0.0425531914893617,0.0425531914893617,0.106382978723404,0.104166666666667,0.914893617021277,0.833333333333333,0.479166666666667,1,0.488888888888889,0.617021276595745,0.0204081632653061,0.0416666666666666,0.0638297872340425,0.2,0.0833333333333334,0.0638297872340425,0.808510638297872,0.0625,0.0208333333333334,0.0212765957446809,0.0416666666666666,0.0851063829787234,0.404255319148936,0.0204081632653061,0,0.0625,0.872340425531915,0.127659574468085,0.0833333333333334,0.782608695652174,0.260869565217391,0.795918367346939,0.148936170212766,0.458333333333333,0.340425531914894,0.0816326530612245,0.166666666666667,0.166666666666667,0.145833333333333,0.142857142857143,0.266666666666667,0.0408163265306123,0.208333333333333,0.133333333333333,0.291666666666667,0.0416666666666666,0.695652173913043,0.0416666666666666,0.833333333333333,0.795918367346939,0.111111111111111
"COOKED",0.152173913043478,0.0416666666666666,0.191489361702128,0.468085106382979,0.195652173913043,0.0816326530612245,0.288888888888889,0.488888888888889,1,0.234042553191489,0.125,0.130434782608696,0.106382978723404,0.787234042553192,0.0408163265306123,0.382978723404255,0.304347826086957,0.127659574468085,0.106382978723404,0.0851063829787234,0.125,0.130434782608696,0.2,0.106382978723404,0.183673469387755,0.0816326530612245,0.395833333333333,0.0408163265306123,0.166666666666667,0.170212765957447,0.777777777777778,0.285714285714286,0.0416666666666666,0.680851063829787,0.5625,0.0612244897959183,0.73469387755102,0.739130434782609,0.0816326530612245,0.58695652173913,0.804347826086957,0.127659574468085,0.638297872340426,0.775510204081633,0.571428571428571,0.142857142857143,0.212765957446808,0.0816326530612245,0.229166666666667,0.106382978723404,0.787234042553192
"DARK",0.3125,0.448979591836735,0.565217391304348,0.291666666666667,0.791666666666667,0.51063829787234,0.739130434782609,0.617021276595745,0.234042553191489,1,0.276595744680851,0.26530612244898,0.666666666666667,0.2,0.782608695652174,0.0697674418604651,0.355555555555556,0.468085106382979,0.148936170212766,0.466666666666667,0.26530612244898,0.152173913043478,0.891304347826087,0.122448979591837,0.173913043478261,0.106382978723404,0.466666666666667,0.346938775510204,0.125,0.446808510638298,0.311111111111111,0.456521739130435,0.326530612244898,0.173913043478261,0.468085106382979,0.479166666666667,0.155555555555556,0.163265306122449,0.375,0.244897959183674,0.291666666666667,0.0638297872340425,0.177777777777778,0.0851063829787234,0.4,0.0408163265306123,0.5625,0.326530612244898,0.354166666666667,0.543478260869565,0.142857142857143
