"","Fam1","Fam2","JI","group","pair","p.val","JI.adj","distance"
"emotion.28","Abkhaz-Adyge","Afro-Asiatic",0.03125,"emotion","Abkhaz.Adyge.Afro.Asiatic",0.012,0.03125,4330.44056710795
"emotion.55","Abkhaz-Adyge","Arawakan",0,"emotion","Abkhaz.Adyge.Arawakan",0.506,NA,11660.2150573974
"emotion.56","Afro-Asiatic","Arawakan",0.0588235294117647,"emotion","Afro.Asiatic.Arawakan",0.002,0.0588235294117647,9230.42980835708
"emotion.82","Abkhaz-Adyge","Atlantic-Congo",0,"emotion","Abkhaz.Adyge.Atlantic.Congo",0.498,NA,5469.98525068256
"emotion.83","Afro-Asiatic","Atlantic-Congo",0.101694915254237,"emotion","Afro.Asiatic.Atlantic.Congo",0,0.101694915254237,3101.79590475025
"emotion.84","Arawakan","Atlantic-Congo",0,"emotion","Arawakan.Atlantic.Congo",0.527,NA,11211.0235016629
"emotion.109","Abkhaz-Adyge","Austroasiatic",0,"emotion","Abkhaz.Adyge.Austroasiatic",0.561,NA,6239.68069002974
"emotion.110","Afro-Asiatic","Austroasiatic",0.178294573643411,"emotion","Afro.Asiatic.Austroasiatic",0,0.178294573643411,9298.72212601909
"emotion.111","Arawakan","Austroasiatic",0.0247933884297521,"emotion","Arawakan.Austroasiatic",0.001,0.0247933884297521,17638.2072061111
"emotion.112","Atlantic-Congo","Austroasiatic",0.150375939849624,"emotion","Atlantic.Congo.Austroasiatic",0,0.150375939849624,7970.05870292526
"emotion.136","Abkhaz-Adyge","Austronesian",0,"emotion","Abkhaz.Adyge.Austronesian",0.541,NA,10812.8743746928
"emotion.137","Afro-Asiatic","Austronesian",0.24390243902439,"emotion","Afro.Asiatic.Austronesian",0,0.24390243902439,13631.7601849043
"emotion.138","Arawakan","Austronesian",0.0245901639344262,"emotion","Arawakan.Austronesian",0.001,0.0245901639344262,16340.892417986
"emotion.139","Atlantic-Congo","Austronesian",0.149253731343284,"emotion","Atlantic.Congo.Austronesian",0,0.149253731343284,11668.4466624634
"emotion.140","Austroasiatic","Austronesian",0.785185185185185,"emotion","Austroasiatic.Austronesian",0,0.785185185185185,4991.96655149663
"emotion.163","Abkhaz-Adyge","Barbacoan",0,"emotion","Abkhaz.Adyge.Barbacoan",0.495,NA,12257.9983498973
"emotion.164","Afro-Asiatic","Barbacoan",0,"emotion","Afro.Asiatic.Barbacoan",0.521,NA,10303.4460925506
"emotion.165","Arawakan","Barbacoan",0,"emotion","Arawakan.Barbacoan",0.501,NA,1517.48268847763
"emotion.166","Atlantic-Congo","Barbacoan",0,"emotion","Atlantic.Congo.Barbacoan",0.508,NA,12442.6757707648
"emotion.167","Austroasiatic","Barbacoan",0.00833333333333333,"emotion","Austroasiatic.Barbacoan",0.0610000000000001,NA,17767.7964347058
"emotion.168","Austronesian","Barbacoan",0.00826446280991736,"emotion","Austronesian.Barbacoan",0.043,0.00826446280991736,15494.5847173783
"emotion.190","Abkhaz-Adyge","Cariban",0,"emotion","Abkhaz.Adyge.Cariban",0.484,NA,10931.3224382727
"emotion.191","Afro-Asiatic","Cariban",0.216216216216216,"emotion","Afro.Asiatic.Cariban",0,0.216216216216216,8634.93317743787
"emotion.192","Arawakan","Cariban",0.133333333333333,"emotion","Arawakan.Cariban",0,0.133333333333333,1460.00620103145
"emotion.193","Atlantic-Congo","Cariban",0.0222222222222222,"emotion","Atlantic.Congo.Cariban",0.166,NA,10777.5503687694
"emotion.194","Austroasiatic","Cariban",0.0725806451612903,"emotion","Austroasiatic.Cariban",0,0.0725806451612903,16938.7808861636
"emotion.195","Austronesian","Cariban",0.107438016528926,"emotion","Austronesian.Cariban",0,0.107438016528926,16706.1021121444
"emotion.196","Barbacoan","Cariban",0.0769230769230769,"emotion","Barbacoan.Cariban",0.003,0.0769230769230769,1842.46663518258
"emotion.217","Abkhaz-Adyge","Chocoan",0,"emotion","Abkhaz.Adyge.Chocoan",0.491,NA,11777.6383259089
"emotion.218","Afro-Asiatic","Chocoan",0.03125,"emotion","Afro.Asiatic.Chocoan",0.014,0.03125,10072.9787179696
"emotion.219","Arawakan","Chocoan",0.25,"emotion","Arawakan.Chocoan",0,0.25,1576.36746753919
"emotion.220","Atlantic-Congo","Chocoan",0,"emotion","Atlantic.Congo.Chocoan",0.509,NA,12363.8024439887
"emotion.221","Austroasiatic","Chocoan",0.00833333333333333,"emotion","Austroasiatic.Chocoan",0.044,0.00833333333333333,17232.5640860856
"emotion.222","Austronesian","Chocoan",0.00826446280991736,"emotion","Austronesian.Chocoan",0.04,0.00826446280991736,15560.046155823
"emotion.223","Barbacoan","Chocoan",0,"emotion","Barbacoan.Chocoan",0.508,NA,570.26899924547
"emotion.224","Cariban","Chocoan",0.0769230769230769,"emotion","Cariban.Chocoan",0.004,0.0769230769230769,1717.05049666735
"emotion.244","Abkhaz-Adyge","Dravidian",0,"emotion","Abkhaz.Adyge.Dravidian",0.515,NA,4899.00399984334
"emotion.245","Afro-Asiatic","Dravidian",0.0555555555555556,"emotion","Afro.Asiatic.Dravidian",0.004,0.0555555555555556,6901.98006131126
"emotion.246","Arawakan","Dravidian",0,"emotion","Arawakan.Dravidian",0.504,NA,15943.7511131046
"emotion.247","Atlantic-Congo","Dravidian",0.0540540540540541,"emotion","Atlantic.Congo.Dravidian",0.002,0.0540540540540541,5336.8654604551
"emotion.248","Austroasiatic","Dravidian",0.0327868852459016,"emotion","Austroasiatic.Dravidian",0.001,0.0327868852459016,2718.43647508151
"emotion.249","Austronesian","Dravidian",0.0241935483870968,"emotion","Austronesian.Dravidian",0.00600000000000001,0.0241935483870968,7123.26722900729
"emotion.250","Barbacoan","Dravidian",0,"emotion","Barbacoan.Dravidian",0.533,NA,16982.7572470406
"emotion.251","Cariban","Dravidian",0,"emotion","Cariban.Dravidian",0.547,NA,15330.2343502815
"emotion.252","Chocoan","Dravidian",0,"emotion","Chocoan.Dravidian",0.501,NA,16579.2677909395
"emotion.271","Abkhaz-Adyge","Guaicuruan",0,"emotion","Abkhaz.Adyge.Guaicuruan",0.474,NA,12832.2739102378
"emotion.272","Afro-Asiatic","Guaicuruan",0,"emotion","Afro.Asiatic.Guaicuruan",0.511,NA,9158.33996222352
"emotion.273","Arawakan","Guaicuruan",0,"emotion","Arawakan.Guaicuruan",0.495,NA,2788.55795906283
"emotion.274","Atlantic-Congo","Guaicuruan",0,"emotion","Atlantic.Congo.Guaicuruan",0.484,NA,10164.2869606531
"emotion.275","Austroasiatic","Guaicuruan",0,"emotion","Austroasiatic.Guaicuruan",0.561,NA,18001.213022352
"emotion.276","Austronesian","Guaicuruan",0.00826446280991736,"emotion","Austronesian.Guaicuruan",0.048,0.00826446280991736,15905.2214966192
"emotion.277","Barbacoan","Guaicuruan",0,"emotion","Barbacoan.Guaicuruan",0.491,NA,3567.07990163424
"emotion.278","Cariban","Guaicuruan",0.0769230769230769,"emotion","Cariban.Guaicuruan",0.00600000000000001,0.0769230769230769,3276.40654443037
"emotion.279","Chocoan","Guaicuruan",0,"emotion","Chocoan.Guaicuruan",0.489,NA,3979.60281061503
"emotion.280","Dravidian","Guaicuruan",0,"emotion","Dravidian.Guaicuruan",0.465,NA,15440.9928212014
"emotion.298","Abkhaz-Adyge","Hmong-Mien",0,"emotion","Abkhaz.Adyge.Hmong.Mien",0.502,NA,6289.43322528817
"emotion.299","Afro-Asiatic","Hmong-Mien",0.0789473684210526,"emotion","Afro.Asiatic.Hmong.Mien",0.001,0.0789473684210526,9743.51536125549
"emotion.300","Arawakan","Hmong-Mien",0,"emotion","Arawakan.Hmong.Mien",0.496,NA,17312.0443384854
"emotion.301","Atlantic-Congo","Hmong-Mien",0.0769230769230769,"emotion","Atlantic.Congo.Hmong.Mien",0.001,0.0769230769230769,8687.22860626763
"emotion.302","Austroasiatic","Hmong-Mien",0.0661157024793388,"emotion","Austroasiatic.Hmong.Mien",0,0.0661157024793388,1042.34719334517
"emotion.303","Austronesian","Hmong-Mien",0.0743801652892562,"emotion","Austronesian.Hmong.Mien",0,0.0743801652892562,4838.66890855852
"emotion.304","Barbacoan","Hmong-Mien",0,"emotion","Barbacoan.Hmong.Mien",0.486,NA,17018.4378042279
"emotion.305","Cariban","Hmong-Mien",0.1,"emotion","Cariban.Hmong.Mien",0.004,0.1,16634.4276662199
"emotion.306","Chocoan","Hmong-Mien",0,"emotion","Chocoan.Hmong.Mien",0.519,NA,16511.5676370288
"emotion.307","Dravidian","Hmong-Mien",0,"emotion","Dravidian.Hmong.Mien",0.512,NA,3424.47546889413
