"","family_languages","used_languages","density","n_con_components.no","concept_comms","max_concepts","max_dist","closeness_centrality.centralization","family","Mod","ModP","av_str","w_clust","glob_eff"
"Abkhaz-Adyge",7,7,0.000105665959711079,2527,49,2,1,3.64990761330744e-06,"Abkhaz-Adyge",0.496712929145361,0,0.00290486564996369,0,0.000852514919011083
"Afro-Asiatic",75,73,0.000670475672928633,1559,20,31,10,0.000289124962408,"Afro-Asiatic",0.751701244813278,0,0.0191538892975074,0.0756751669562419,3695.5344610801
"Arawakan",19,18,0.000220640587301467,2155,34,8,14,8.22326475435061e-05,"Arawakan",0.622016245927452,0,0.0187103999900491,0.377830990638727,1.61481320495518
"Atlantic-Congo",149,149,0.00131126424289082,1888,25,27,8,0.000222189744017183,"Atlantic-Congo",0.799302410086533,0,0.0110335957597903,0.0045148735610124,9703.99740474172
"Austroasiatic",39,39,0.000964830846409496,1582,16,36,6,0.000306521869672609,"Austroasiatic",0.612543861546782,0,0.0174970450892487,0.00754286502583914,4599.64417676969
"Austronesian",363,291,0.0014481268192785,1414,15,37,7,0.000350314684314452,"Austronesian",0.713530477980666,0,0.0174483225851144,0.00756156049588853,2726.03550203578
"Barbacoan",7,7,0.000168562364301007,2349,43,3,2,2.41618270283606e-05,"Barbacoan",0.810038321425414,0,0.0125972864357967,1.32595105197069,0.00526307367480826
"Boran",3,3,1.93720926136978e-05,2753,49,2,1,9.89823098436421e-07,"Boran",0.5,0,0.00313725490196078,0,0.000784313725490196
"Cariban",8,8,0.000204790693344806,2218,36,5,6,8.21109054124656e-06,"Cariban",0.738385624368196,0,0.0282348481761139,1.02638858414431,0.119772772016759
"Chibchan",8,8,7.7739956073151e-05,2571,48,3,2,3.91038061883096e-06,"Chibchan",0.408863638229571,0,0.00546109068627451,1.63310110363998,0.001853065422539
"Chocoan",9,9,0.000129315007836892,2458,45,5,4,1.3557799589671e-05,"Chocoan",0.506932878824771,0,0.00870473158478549,0.525577303661507,0.0499290523085117
"Dogon",16,16,6.74249457204028e-05,2633,46,6,7,4.07063889814799e-05,"Dogon",0.046485260770975,0,0.000675939551790483,0.0928867101258201,0.935929624997274
"Dravidian",6,6,0.00018340591578423,2204,39,6,20,3.20213218141755e-05,"Dravidian",0.820734945678199,0,0.0125834235698149,1.74059581260479,0.00590479964939246
"Guaicuruan",3,3,8.75517951891798e-05,2564,48,2,1,2.17962079165908e-06,"Guaicuruan",0.657161951436846,0,0.00420712864621157,0,0.00135928626154686
"Hmong-Mien",24,24,0.000526065527990158,1961,24,24,7,0.000196507198497205,"Hmong-Mien",0.827635687413021,0,0.0198786434796142,0.207558657082983,1677.7283000501
"Huitotoan",4,4,2.11331919422158e-05,2750,49,2,1,3.25547502917008e-06,"Huitotoan",0.498306318412139,0,0.00297138288909314,0,0.000830685207229669
"Indo-European",248,232,0.00173870820848397,1136,6,46,6,0.000419643784247561,"Indo-European",0.598785391799998,0,0.0307040480467949,0.00888798099764307,12236.9533025031
"Mailuan",13,13,1.25792809179856e-05,2775,49,2,1,2.75855682539803e-06,"Mailuan",0.5,0,0.0031351562605042,0,0.000784839088729376
"Matacoan",5,5,0.000178877374653755,2280,42,4,4,6.48334263108596e-06,"Matacoan",0.794373201040978,0,0.0120745871338232,0.742829405454257,0.0133259897513251
"Mongolic",3,3,8.07589834934676e-05,2551,46,3,2,2.66999232137961e-06,"Mongolic",0.673190578305871,0,0.0084440813362382,1.74059581260479,0.0026610786808362
"Nakh-Daghestanian",107,107,0.00137541857557255,1332,16,35,7,0.000366857988481797,"Nakh-Daghestanian",0.812833009055775,0,0.0159969009689916,0.00265972908716252,157881.865981195
"Nuclear Trans New Guinea",560,493,0.000740668060450992,2262,39,13,4,0.000137516581271207,"Nuclear Trans New Guinea",0.289870037807183,0,0.00723107443852228,0.0686652931635214,8.68708849980304
"Nuclear-Macro-Je",6,5,0.000206551792673324,2325,39,5,12,5.32565937784477e-05,"Nuclear-Macro-Je",0.770174769792478,0,0.0151029295620965,0.834792598418871,3.81469708284501
"Pama-Nyungan",171,167,0.00030567652630705,2330,39,9,4,9.67467702527826e-05,"Pama-Nyungan",0.812315488782913,0,0.00791217492141719,0.0162932555438597,15.3349826668099
"Pano-Tacanan",15,13,0.000495623668168633,1870,18,34,9,0.000227895285188405,"Pano-Tacanan",0.785821964251359,0,0.0213392816699265,0.0370228550035808,3028.77349501519
"Sino-Tibetan",213,208,0.00371139104204247,1092,12,40,5,0.000427607418863479,"Sino-Tibetan",0.565904794419335,0,0.0150132732442768,0.0102040471033723,861.292882778758
"Tai-Kadai",41,41,0.000890109917756661,1550,11,41,7,0.000312261316268236,"Tai-Kadai",0.739347350249342,0,0.0203921746828343,0.00550101986354268,11979.8559565938
"Timor-Alor-Pantar",95,88,0.000219131073591309,2319,35,17,8,0.000119312108969623,"Timor-Alor-Pantar",0.667605898375129,0,0.00863968041202058,0.0231644649013123,250.175194154873
"Tucanoan",21,21,0.000252591960833151,2211,31,19,10,0.000115016087715777,"Tucanoan",0.680211721806752,0,0.015317568808688,0.0400452820832159,691.995866121363
"Tungusic",4,4,0.000155228326527942,2327,42,3,3,1.67053968404277e-05,"Tungusic",0.79814069931629,0,0.0145390519443927,1.4391100251384,0.00655776265894578
"Tupian",21,18,0.000466439736438906,1901,24,27,14,0.000205947679571115,"Tupian",0.703412903083603,0,0.0168549565031706,0.109207511232743,1438.94900111068
"Turkic",27,25,0.000412600414109928,1751,25,23,16,0.00022381692682676,"Turkic",0.805715089011552,0,0.0195245310678116,0.148583975871269,27.6669459023276
"Uralic",42,41,0.000706704001972431,1496,16,36,14,0.000315937346912677,"Uralic",0.736040442305607,0,0.0256369428023003,0.0342128442677003,11465.9837810707
"West Bomberai",4,1,2.1887948797295e-05,2766,49,2,1,2.00304183367247e-06,"West Bomberai",0.5,0,0.00313725490196078,0,0.000784313725490196
