ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,dataset_ID,author,url,typedby,checkedby,notes,Subfamily,Dialect,Source,Chinese_name,Population,SubGroup,time_frame,Type,Coverage,Date,Transcriber,Region,Culture,Description,Orthography,Comment
venetianstd,Venetian-std,vene1258,,,Eurasia,45.503581,12.214167,Indo-European,logos,,,,,,,,,,,,,,,,,,,,,
hindistd,Hindi-std,hind1269,,,Eurasia,25.0,77.0,Indo-European,logos,,,,,,,,,,,,,,,,,,,,,
romagnolstd,Romagnol-std,roma1328,,,Eurasia,44.2349,11.7189,Indo-European,logos,,,,,,,,,,,,,,,,,,,,,
latinstd,Latin-std,lati1261,,,Eurasia,41.9026,12.4502,Indo-European,logos,,,,,,,,,,,,,,,,,,,,,
galicianstd,Galician-std,gali1258,,,Eurasia,42.2446,-7.5343,Indo-European,logos,,,,,,,,,,,,,,,,,,,,,
Eryuan,Eryuan,eryu1239,,,Eurasia,26.0991374,99.9416161,Sino-Tibetan,allenbai,,,,,,,,,,,,,,,,,,,,,
Heqing,Heqing,heqi1238,,,Eurasia,26.5536208,100.1396921,Sino-Tibetan,allenbai,,,,,,,,,,,,,,,,,,,,,
Jianchuan,Jianchuan,jian1239,,,Eurasia,26.538056,99.91,Sino-Tibetan,allenbai,,,,,,,,,,,,,,,,,,,,,
Lanping,Lanping,lanp1241,,,Eurasia,26.5158555,99.2581092,Sino-Tibetan,allenbai,,,,,,,,,,,,,,,,,,,,,
Luobenzhuo,Luobenzhuo,nuji1238,,,Eurasia,26.4240223,98.8862088,Sino-Tibetan,allenbai,,,,,,,,,,,,,,,,,,,,,
Qiliqiao,Qiliqiao,qili1234,,,,25.6553283,100.1709288,Sino-Tibetan,allenbai,,,,,,,,,,,,,,,,,,,,,
Xiangyun,Xiangyun,xian1250,,,Eurasia,25.5313657,100.4478932,Sino-Tibetan,allenbai,,,,,,,,,,,,,,,,,,,,,
Yunlong,Yunlong,yunl1238,,,Eurasia,25.9223745,99.0352884,Sino-Tibetan,allenbai,,,,,,,,,,,,,,,,,,,,,
Zhoucheng,Zhoucheng,zhou1234,,,,25.8958633,100.0987848,Sino-Tibetan,allenbai,,,,,,,,,,,,,,,,,,,,,
1,"Kinyamwezi F22",nyam1276,,nym,Africa,-5.08559,32.94452,Atlantic-Congo,bantubvd,"Maganga and Schadeberg 1992",https://abvd.shh.mpg.de/bantu/bantu/language.php?id=1,"Gisèle Teil-Dautrey",,"Data from Maganga and Schadeberg 1992 : Kinyamwezi grammar, texts, vocabulary. Rüdiger Köppe Verlag, Köln",,,,,,,,,,,,,,,,
